epoch,train_loss,train_acc,train_average_valid_weight_sum,train_average_weight_per_valid_class,train_average_weight_per_invalid_class,val_loss,val_acc,val_average_valid_weight_sum,val_average_weight_per_valid_class,val_average_weight_per_invalid_class,time_elapsed
0,1.792813003898256,0.4246049411764706,0.8590652794467982,0.08693936825655488,0.005955967530145864,1.2194440268426783,0.5648935294117647,0.9925268768804214,0.10083426887329887,0.0003137035900299602,01:13:33
1,1.1223067521304524,0.597941705882353,0.9945085448666741,0.10118879728996753,0.00023048088343777893,1.0750275536295948,0.6112435294117647,0.9950530494050419,0.10109821618949666,0.00020786676562637747,01:12:46
2,1.0240733402801683,0.6297827352941177,0.9961337830942939,0.10136279834599354,0.00016266583675260976,1.006532874845056,0.6356329411764706,0.9953523276912465,0.10114103885229896,0.00019655004711013617,01:16:33
3,0.9732250435624403,0.6466172058823529,0.9967742770722333,0.10143200860558538,0.00013599021647188998,0.9841519982562346,0.6426194117647058,0.9976104490414788,0.10137450370311737,0.00010105824885708417,01:14:22
4,0.9422403547563833,0.6567640294117647,0.9971630579867643,0.10147382281599325,0.00011978526529032644,0.9625954475453321,0.6489676470588235,0.997433625498379,0.10135526245832444,0.00010834219589784933,01:12:45
5,0.9200868497962952,0.6638040294117648,0.9974143806802526,0.10150079252016544,0.00010930763339961157,0.9472508132166021,0.6536411764705883,0.9979366115379333,0.10140857422464034,8.744291440597461e-05,01:12:47
6,0.9026867536491366,0.6694933823529412,0.997597951268701,0.10152069337653412,0.00010166885901854445,0.9379713430988087,0.6580258823529411,0.9983635681051366,0.10145454030177173,6.947325622036314e-05,01:12:28
7,0.8882385072584994,0.6741421176470588,0.9977334453257953,0.101535282755999,9.600714991425304e-05,0.9259238544744604,0.660045294117647,0.9976690430125068,0.10137763896942138,9.816776408591335e-05,01:12:46
8,0.8757255582511986,0.678124794117647,0.9978467341396108,0.1015476779908082,9.130129894164309e-05,0.918667921741149,0.6627964705882353,0.9976883474686566,0.10138378002054552,9.795604848385076e-05,01:12:42
9,0.8646197874564985,0.6816960588235295,0.9979365427561928,0.10155753739702701,8.757509919885214e-05,0.9220487834694806,0.6630894117647059,0.9977869012204339,0.10139815099828384,9.440498434640605e-05,01:12:25
10,0.8545708712956204,0.6850111470588235,0.9980092796177022,0.10156533242914256,8.45377134443907e-05,0.9091096791340323,0.6657311764705882,0.9978052232293522,0.10139651351283578,9.320294075529091e-05,01:12:51
11,0.8453853655736446,0.6879813823529412,0.9980767518718383,0.10157271033698671,8.173709932716327e-05,0.9115867464104821,0.6667111764705882,0.9984625312042237,0.10146428415663102,6.52481032190639e-05,01:12:47
12,0.8368006144651525,0.6908189705882353,0.9981296330977047,0.10157838860824529,7.953244427894799e-05,0.9159484418431451,0.6670064705882353,0.9989317659658544,0.10151255451524958,4.5332710678511136e-05,01:12:54
13,0.828670530863257,0.6934574411764706,0.9981804370600756,0.10158371496337301,7.740281552745984e-05,0.9063857640673133,0.66643,0.9972523709027907,0.10134435649493162,0.00011729059935177621,01:12:49
14,0.8210334328009241,0.6961164411764705,0.9982191652037676,0.101587992685318,7.578992896195996e-05,0.9060118972020991,0.6673394117647059,0.9984919379727981,0.10146863083643072,6.423189992218635e-05,01:14:45
