n_valid_classes,training_count,validation_count,testing_count
0,0,0,0
1,47,1,1
2,7845,470,428
3,114933,5876,5301
4,318664,15928,15135
5,463980,23162,22277
6,970986,47616,45586
7,1580104,77909,76194
8,2173605,106672,105782
9,3855827,190778,190778
10,5590652,279209,280253
11,7211039,361089,363931
12,7192940,361945,364553
13,3808192,193175,193612
14,711186,36170,36169
