mode,epoch,n_valid,min,max,mean,median
0,0,1,0,28,4.791666666666667,0.0
0,0,2,0,63,7.142929677583143,0.0
0,0,3,0,93,10.806240366445186,0.0
0,0,4,0,120,12.610520679375735,0.0
0,0,5,0,143,16.118325341154637,1.0
0,0,6,0,168,18.151008802599645,2.0
0,0,7,0,185,20.07348173325443,2.0
0,0,8,0,204,22.980373826188803,3.0
0,0,9,0,221,25.226460463992318,4.0
0,0,10,0,236,27.9199321493444,5.0
0,0,11,0,253,31.332398541014012,7.0
0,0,12,0,264,34.81056812631268,10.0
0,0,13,0,271,39.09071677677109,14.0
0,0,14,0,274,45.58933855251804,21.0
1,0,1,nan,nan,nan,nan
1,0,2,0,17,0.06053811659192825,0.0
1,0,3,0,23,0.16966824644549763,0.0
1,0,4,0,19,0.3038003838771593,0.0
1,0,5,0,38,0.9530565958120154,0.0
1,0,6,0,40,1.3435601381500997,0.0
1,0,7,0,53,1.978401823780199,0.0
1,0,8,0,70,2.238488886950073,0.0
1,0,9,0,72,2.7235635533248495,0.0
1,0,10,0,93,3.859714608465029,1.0
1,0,11,0,96,6.115864571263824,3.0
1,0,12,0,112,9.967454577302995,7.0
1,0,13,0,116,15.326607105496276,12.0
1,0,14,0,112,23.519063781019966,21.0
0,1,1,0,0,0.0,0.0
0,1,2,0,16,0.019675044427519675,0.0
0,1,3,0,22,0.0831903721055794,0.0
0,1,4,0,30,0.23047608908038777,0.0
0,1,5,0,50,0.7396972272871799,0.0
0,1,6,0,55,1.3438484636584263,0.0
0,1,7,0,78,2.0795626400416776,0.0
0,1,8,0,91,2.2863352075072414,0.0
0,1,9,0,111,2.956296016270534,1.0
0,1,10,0,128,4.050494413550676,1.0
0,1,11,0,157,6.076738480755407,3.0
0,1,12,0,156,9.796013865758347,6.0
0,1,13,0,160,15.01469886819188,11.0
0,1,14,0,144,23.165291018652972,20.0
1,1,1,nan,nan,nan,nan
1,1,2,0,2,0.01569506726457399,0.0
1,1,3,0,5,0.04004739336492891,0.0
1,1,4,0,13,0.18464491362763916,0.0
1,1,5,0,39,0.7006171211561791,0.0
1,1,6,0,40,1.2483928706481457,0.0
1,1,7,0,58,2.208491236380862,0.0
1,1,8,0,94,2.4981569132113335,0.0
1,1,9,0,115,3.3533105769573854,1.0
1,1,10,0,129,4.811714880482377,2.0
1,1,11,0,130,7.665382878839804,4.0
1,1,12,0,141,13.030544970818282,9.0
1,1,13,0,148,20.632683858388642,16.0
1,1,14,0,149,32.037378234231056,29.0
0,2,1,0,0,0.0,0.0
0,2,2,0,13,0.008631632394008631,0.0
0,2,3,0,27,0.05098708559386239,0.0
0,2,4,0,26,0.19770973721786617,0.0
0,2,5,0,53,0.6881082004728255,0.0
0,2,6,0,53,1.302082390687343,0.0
0,2,7,0,75,2.2358314492511724,0.0
0,2,8,0,98,2.3249718230131142,0.0
0,2,9,0,112,3.167810883045685,1.0
0,2,10,0,134,4.301949722850171,1.0
0,2,11,0,167,6.362497614948394,3.0
0,2,12,0,153,10.891264786485714,7.0
