epoch,train_loss,train_acc,train_average_valid_weight_sum,train_average_weight_per_valid_class,train_average_weight_per_invalid_class,val_loss,val_acc,val_average_valid_weight_sum,val_average_weight_per_valid_class,val_average_weight_per_invalid_class,time_elapsed
0,1.792813003898256,0.4246049411764706,0.8590652794467982,0.08693936825655488,0.005955967530145864,1.1897436414056666,0.5698929411764706,0.9928042540539013,0.09837357611642164,0.0003034192142913611,01:16:49
1,1.1223067521304524,0.597941705882353,0.9945085448666741,0.10118879728996753,0.00023048088343777893,1.051898269364413,0.6153441176470589,0.9952966743009231,0.09863214896160014,0.00019870081435409648,01:16:58
2,1.0240733402801683,0.6297827352941177,0.9961337830942939,0.10136279834599354,0.00016266583675260976,0.9824049910562178,0.6408917647058824,0.9955392477686265,0.09866795177936553,0.00018969934460405697,01:16:24
3,0.9732250435624403,0.6466172058823529,0.9967742770722333,0.10143200860558538,0.00013599021647188998,0.9437714496354496,0.6525764705882353,0.9977541544274723,0.09889372159649344,9.55528855248464e-05,01:16:47
4,0.9422403547563833,0.6567640294117647,0.9971630579867643,0.10147382281599325,0.00011978526529032644,0.945748026043948,0.6510794117647059,0.9975226918781505,0.09886884492565604,0.00010518114932258066,01:17:06
5,0.9200868497962952,0.6638040294117648,0.9974143806802526,0.10150079252016544,0.00010930763339961157,0.926600403732412,0.6556835294117647,0.9980387827962988,0.0989234819538453,8.369037803402855e-05,01:18:00
6,0.9026867536491366,0.6694933823529412,0.997597951268701,0.10152069337653412,0.00010166885901854445,0.9124428151343851,0.6629317647058823,0.9984333146510405,0.09896505049326841,6.697884410267066e-05,01:17:17
7,0.8882385072584994,0.6741421176470588,0.9977334453257953,0.101535282755999,9.600714991425304e-05,0.8980619247963849,0.6665388235294117,0.9978116793251037,0.0988967299875091,9.27311777865158e-05,01:16:03
8,0.8757255582511986,0.678124794117647,0.9978467341396108,0.1015476779908082,9.130129894164309e-05,0.8964154996630724,0.6668735294117647,0.9978051274064008,0.09890009206687703,9.358717614247272e-05,01:16:23
9,0.8646197874564985,0.6816960588235295,0.9979365427561928,0.10155753739702701,8.757509919885214e-05,0.9089352121880475,0.6638817647058823,0.9978345049128813,0.09890782128600513,9.310381039487445e-05,01:16:57
10,0.8545708712956204,0.6850111470588235,0.9980092796177022,0.10156533242914256,8.45377134443907e-05,0.8979813823604583,0.665564705882353,0.9978845252957064,0.09890894251346588,9.043164356502102e-05,01:17:31
11,0.8453853655736446,0.6879813823529412,0.9980767518718383,0.10157271033698671,8.173709932716327e-05,0.894544392005135,0.6678394117647058,0.9985340249790865,0.09897482041527243,6.264864118434215e-05,01:16:58
12,0.8368006144651525,0.6908189705882353,0.9981296330977047,0.10157838860824529,7.953244427894799e-05,0.8999732467062334,0.6670264705882353,0.9989814960042168,0.09901940038246267,4.346051344875698e-05,01:16:58
13,0.828670530863257,0.6934574411764706,0.9981804370600756,0.10158371496337301,7.740281552745984e-05,0.8890343965934304,0.6687382352941177,0.9973555701805563,0.0988602148401036,0.00011366577026002821,01:17:05
14,0.8210334328009241,0.6961164411764705,0.9982191652037676,0.101587992685318,7.578992896195996e-05,0.8927241385964786,0.6672188235294118,0.9985363377672083,0.098976509708096,6.279732543464942e-05,01:16:44
