mode,epoch,n_valid,min,max,mean,median
0,5,8,0,120,18.8770346958164,17.0
0,5,9,0,130,21.433891095217707,19.0
0,5,10,0,138,24.831210027023683,23.0
0,5,11,0,161,28.603942233567174,26.0
0,5,12,0,172,32.67724212908769,31.0
0,5,13,0,173,36.53688915894997,34.0
0,5,14,0,168,40.89915296420346,39.0
1,5,1,nan,nan,nan,nan
1,5,2,0,4,1.4,1.0
1,5,3,0,13,2.3622047244094486,2.0
1,5,4,0,22,4.4,3.0
1,5,5,0,39,7.531779661016949,5.0
1,5,6,0,42,10.340336134453782,9.0
1,5,7,0,56,12.875927174645987,11.0
1,5,8,0,51,13.495875788452208,12.0
1,5,9,0,70,15.580909571655209,14.0
1,5,10,0,69,18.274128440366972,17.0
1,5,11,0,72,20.704570037858304,19.0
1,5,12,0,85,24.164260419504224,23.0
1,5,13,0,83,27.21316129032258,26.0
1,5,14,1,79,31.431506849315067,30.0
0,6,1,0,3,0.5957446808510638,0.0
0,6,2,0,36,2.1453154875717018,1.0
0,6,3,0,47,3.134713267729895,2.0
0,6,4,0,63,5.239029196897045,4.0
0,6,5,0,89,8.338872365188154,6.0
0,6,6,0,91,12.107460869672684,10.0
0,6,7,0,107,14.900826781022008,13.0
0,6,8,0,104,16.199086310530202,14.0
0,6,9,0,114,18.615835980193093,16.0
0,6,10,0,146,21.83025951177072,20.0
0,6,11,0,155,25.513838574441213,23.0
0,6,12,0,154,29.54549725147158,27.0
0,6,13,0,159,33.44375546190948,31.0
0,6,14,0,170,37.92262502355221,36.0
1,6,1,nan,nan,nan,nan
1,6,2,0,4,0.7,0.0
1,6,3,0,14,1.1574803149606299,0.0
1,6,4,0,20,2.171875,1.0
1,6,5,0,30,4.671610169491525,3.0
1,6,6,0,47,7.546218487394958,6.0
1,6,7,0,40,10.15576534052596,9.0
1,6,8,0,57,11.319747695293547,10.0
1,6,9,0,60,14.386832363828661,13.0
1,6,10,0,79,17.789908256880732,16.0
1,6,11,0,77,21.918063818280153,21.0
1,6,12,0,90,26.546989921002453,25.0
1,6,13,0,93,30.489806451612903,29.0
1,6,14,0,77,34.62739726027397,34.0
