mode,epoch,n_valid,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33
0.0,0.0,1.0,0.06382978723404255,0.1276595744680851,0.0,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.10638297872340426,0.0,0.0425531914893617,0.02127659574468085,0.0,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.0425531914893617,0.0,0.02127659574468085,0.0425531914893617,0.0,0.06382978723404255,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.0
0.0,0.0,2.0,0.1219885277246654,0.09878903760356915,0.09037603569152326,0.08833652007648184,0.08030592734225621,0.07877629063097515,0.0721478648820905,0.06908859145952836,0.07418738049713193,0.06781389420012747,0.0746972594008923,0.06246016571064372,0.06233269598470363,0.061695347355003184,0.058763543658381136,0.048183556405353725,0.052262587635436585,0.05277246653919694,0.04882090503505417,0.05188017845761632,0.04703632887189293,0.043339706819630335,0.04091778202676864,0.03747609942638623,0.03964308476736775,0.03734862970044615,0.04053537284894838,0.04933078393881453,0.04486934353091141,0.04448693435309114,0.04703632887189293,0.04486934353091141,0.03454429572976418,0.03288718929254302
0.0,0.0,3.0,0.23134347837435723,0.18028764584584062,0.15557759738282304,0.14182175702365726,0.13116337344365847,0.12453342382083475,0.11713781072450906,0.11373582870019924,0.10665344157030618,0.10366909416790653,0.09850086572176833,0.09795272028051126,0.09503797864842996,0.09024388121775295,0.08586741840898611,0.08035986183254591,0.07649674157987697,0.0735384963413467,0.07152862972340407,0.06917943497515944,0.06693464888239235,0.06060052378342164,0.057929402347454605,0.0550233614366631,0.05232613783682667,0.05075130728337379,0.050298869776304454,0.0629149156465071,0.05898218962351979,0.05726814752943019,0.052900385441953135,0.048071485126116954,0.042398614845170664,0.038970530656991464
0.0,0.0,4.0,0.2875787663495092,0.24067042402028468,0.2150854818868777,0.19840019581753823,0.1851291642607888,0.1756520975070921,0.1683968066678382,0.1611572063364547,0.15688625009414306,0.15000125524062963,0.1448076971355409,0.1417857053197098,0.13559423091406622,0.1300868626515703,0.12646863153666557,0.11033878944593678,0.10570067531945875,0.10173411492983205,0.09920166695955615,0.09621105615946576,0.09204993347224663,0.07635628750031381,0.0734472673411493,0.06971606456957799,0.06665641553485803,0.06400785780634148,0.06173587226671353,0.06393254336856376,0.0603613837772701,0.05714796776542063,0.052503577435794445,0.04869078402329727,0.04329324931589386,0.03921371726960058
0.0,0.0,5.0,0.3349971981550929,0.2885426095952412,0.26019224966593385,0.24111599637915426,0.22693004008793483,0.2154834260097418,0.20543988965041596,0.19842450105608,0.1914392861761283,0.18687874477348163,0.18072761756972283,0.17350747877063666,0.17030259924996768,0.16431527221000905,0.1589443510496142,0.14012026380447434,0.13436139488771068,0.1301090564248459,0.1269214190266822,0.1241260399155136,0.11864304495883443,0.09772188456398982,0.09366567524462262,0.09045864045864045,0.08607698607698608,0.08327729643519118,0.08039570671149618,0.08619552566920988,0.08202077675761886,0.07775550670287512,0.07156989525410579,0.067317556791241,0.059351696193801456,0.0526703737230053
0.0,0.0,6.0,0.3742711017460602,0.3295083554242801,0.3036676120973938,0.28504633434467647,0.27002243080744726,0.25941877637782623,0.2511292644796114,0.2431003124658852,0.23475003759065527,0.22889207465401148,0.22198878253651444,0.21616274590982773,0.210250199281967,0.2049576409958537,0.19849410805099146,0.17280578710712616,0.16645966059242873,0.16215063862918724,0.15727106261058346,0.1546520753131353,0.1491370627382887,0.11915001864084548,0.1138698189263285,0.10930332672149753,0.10434650963041692,0.10058332457934512,0.09710335679402175,0.09828051073856883,0.09330309602816106,0.08803834452813944,0.08145637527214604,0.07454484410691813,0.0666693443571792,0.05921506592268066
0.0,0.0,7.0,0.4138702262635877,0.372467255319903,0.34687083888149134,0.32917769969571625,0.3156330216238931,0.3039831555391291,0.2938255962898645,0.2848426432690506,0.2771817551249791,0.27028663936044717,0.26343772308658164,0.25665146091649665,0.25070628262443484,0.24451744948433773,0.2371211008895617,0.20699713436583922,0.1997963425192266,0.19450618440305195,0.1892369109881375,0.18700984239012117,0.18014510437287673,0.14256846384794924,0.13607079027709568,0.13092429359080163,0.1257569122032474,0.12132555831768035,0.11567529732220158,0.10711510128447241,0.10098449216000972,0.09553105365216467,0.08782080166875092,0.08119908562980664,0.07260344888690871,0.06416033375018353
0.0,0.0,8.0,0.45479330421120673,0.41194927321201413,0.38572785763742723,0.36766247777310046,0.3514502404990787,0.3387616425247458,0.3278654585354745,0.3169140667232547,0.30808771602936136,0.30096728706457704,0.2930744086437048,0.28616376940612487,0.27941783350700794,0.27414502635023386,0.2657295138721157,0.23818311054676447,0.22976207728635148,0.2246387913167296,0.21778980081477545,0.21748707791894112,0.2102980992406624,0.171203139484865,0.16446134417246924,0.15849107818577893,0.15203038270522934,0.14633017498579548,0.1413550300077521,0.13213900409688054,0.1254123909357956,0.11903036660294763,0.1106811035123677,0.10286597610881462,0.09263596651645538,0.08249520957119624
0.0,0.0,9.0,0.47869263844046944,0.4381060146111327,0.4140937858467198,0.39771286419229906,0.3834902343907027,0.3714201907917549,0.36007709889473777,0.3500001426412544,0.34094397907374996,0.3328134275733844,0.32631547006647343,0.3185708279961731,0.31132983922774543,0.3081943251084657,0.29981402173904587,0.27250703934590426,0.2643632611110405,0.25867161571304936,0.2520704378075054,0.2531446561269476,0.24539093688591318,0.2050353918886921,0.19752286604144845,0.1907284740731366,0.18391981797938547,0.1778324079373893,0.1706746697919798,0.15372007094716647,0.14647130174668105,0.139122683668121,0.12937458034294588,0.12069887990306619,0.10926864716700205,0.09790740092851676
0.0,0.0,10.0,0.49429494091207965,0.4564802101794209,0.4344264318365729,0.4213782220749923,0.4091639043174213,0.39884221017512805,0.38853214258372726,0.37962137510973676,0.3707680249101536,0.3626535867372893,0.3558686893764806,0.3487405404593239,0.34151937913502756,0.34278792527240115,0.3344398828616054,0.3088151435646504,0.3010704297101662,0.29497561286232804,0.2883350636025995,0.29222691736133816,0.28444839707425895,0.2422543917954471,0.2340093785125599,0.22688051411534826,0.2196210746081137,0.21243300423635741,0.20452390883925525,0.18005520644103765,0.17162416834387118,0.16321674108851705,0.151105810198882,0.14163303314175163,0.12820222042080243,0.11505151814135453
0.0,0.0,11.0,0.5006149599246378,0.46596891238557997,0.44689246584299436,0.4368194375318175,0.4267304614494527,0.41901284960461316,0.40962058310875865,0.4014963724367598,0.3930146543376066,0.3848094567232267,0.37947846350574443,0.37205512270839197,0.36616110382983647,0.3728701231542362,0.36598706510948004,0.34520587116502904,0.33723808732694416,0.3304733201415219,0.324656543946025,0.3322281296772906,0.32429224138158175,0.2833342046825707,0.2750668800986931,0.26755131958099243,0.26033405172264357,0.25258842727102154,0.24393586000574952,0.21799327392349424,0.20840089756829772,0.19906840054533056,0.18440491030488118,0.17345489325463362,0.1567908591258486,0.14144979662431448
