epoch,train_loss,train_acc,train_average_valid_weight_sum,train_average_weight_per_valid_class,train_average_weight_per_invalid_class,val_loss,val_acc,val_average_valid_weight_sum,val_average_weight_per_valid_class,val_average_weight_per_invalid_class,time_elapsed
0,2.189231405712128,0.330187,0.7620054411553214,0.07668411783392289,0.010056991247110809,1.3919066775551632,0.5132290686735654,0.9833805862733584,0.09968664403917199,0.000693193964807138,00:35:20
1,1.2773758339617112,0.5487488823529412,0.9909620387703391,0.10078981143255794,0.00037797102971498937,1.195260134207563,0.5743767638758231,0.9904975621406469,0.10046150872478593,0.0003989249349189335,00:35:15
2,1.1436549274452994,0.5915352352941177,0.9940628875652762,0.10112241847070526,0.00024897833108712973,1.1040628981388412,0.6031573377234243,0.9926522667410232,0.1006806415075529,0.00030800202553935203,00:35:16
3,1.0739642803605023,0.6139254705882353,0.9953883260586682,0.10126438086187138,0.00019369469268003698,1.0558961446511779,0.6188558325493885,0.995207513376776,0.10096244267972146,0.00020160631839085636,00:35:15
4,1.0291959893204183,0.628310294117647,0.9960635765086904,0.10133616719857384,0.00016543454379334307,1.0189745286558445,0.6316145343367827,0.9958516179337775,0.10102599587287975,0.00017469369902504172,00:35:09
5,0.9944219184311137,0.6399561764705882,0.996469033657635,0.10137965445686789,0.0001485023594518014,0.9924788326445549,0.6417274223894638,0.9954479853162649,0.1009890473993567,0.00019248201102238483,00:35:10
6,0.9674877152024437,0.6489501764705883,0.9967655397774191,0.10141143095326424,0.00013610739865917233,0.9890632652944814,0.6420801975540922,0.9968593217018967,0.1011332480950055,0.00013203032285878885,00:35:13
7,0.9460821983502893,0.6560304705882353,0.9970071597038718,0.10143737880182266,0.00012603690683503073,0.9774997788336853,0.6465486829727187,0.9948342487930915,0.10091191427896075,0.00021777872708236216,00:35:12
8,0.9279579869691624,0.6619915294117648,0.9971917935661989,0.10145714616013976,0.00011832099838535684,0.9639997952464383,0.6467250705550329,0.9968984664215418,0.1011419656597996,0.00013110466909705773,00:35:09
9,0.9122908751931471,0.6671545294117647,0.9973354738260157,0.10147274709071832,0.0001123400504622516,0.9630965865230291,0.6534865945437441,0.9980946856069879,0.10125980340470038,8.014296489752781e-05,00:35:13
10,0.8981415838524033,0.671872294117647,0.997455579134885,0.10148548987893498,0.00010732273448193069,0.9497264533926604,0.6543979303857008,0.9975819976847909,0.10121656959194791,0.0001019294667049753,00:35:13
11,0.8851343546596134,0.676118,0.9975514345492195,0.10149581938451879,0.00010334107954545727,0.961576566366463,0.6534571966133584,0.9984727296645307,0.10130642882967937,6.429895986065835e-05,00:35:11
12,0.8727936071294335,0.6801689411764706,0.9976467566900814,0.10150591039755766,9.93468958975487e-05,0.9624060226967058,0.650458607714017,0.9983930682530407,0.10129984896472347,6.780969492253803e-05,00:35:10
13,0.8610764317185178,0.6841874705882353,0.9977094439099256,0.10151249637180217,9.673821999478284e-05,0.94045247276325,0.6591309971777987,0.9969183545233725,0.10114837421046488,0.0001305554472456484,00:35:11
14,0.8496688106849334,0.688012705882353,0.9977809638067133,0.10152024925696149,9.375106971800629e-05,0.9507975215801964,0.6545449200376293,0.9975424127991426,0.10121855471959568,0.00010383149558948335,00:35:14
15,0.8384886807921073,0.6918168823529411,0.9978396025263843,0.10152675408838777,9.132569335851654e-05,0.9602622513712742,0.6553092662276576,0.9984219336666706,0.10130254202369016,6.665024780032715e-05,00:35:12
16,0.8276180920001198,0.6955515882352942,0.9978792109063093,0.10153082918105406,8.966790488301279e-05,0.9653700701717151,0.6572789275634995,0.9986478604467434,0.10133131864714601,5.6985113382528556e-05,00:35:13
17,0.8167764887846217,0.6992808235294118,0.9979369783793056,0.10153681649098677,8.722548152991701e-05,0.9747480906525089,0.6543685324553151,0.9985880248970506,0.1013157951907515,5.9088272059609054e-05,00:35:09
18,0.8061816348731938,0.7028342941176471,0.9979674939396802,0.10154018324832355,8.597015162393355e-05,0.965712220149565,0.6541039510818438,0.9977668706583506,0.10123114927075208,9.461241188289732e-05,00:35:15
19,0.7955103887860354,0.7066674117647059,0.9980029325607525,0.10154368800595227,8.446562231179269e-05,0.9720496969579641,0.655074082784572,0.9984427739849432,0.10130735978778532,6.603966922976345e-05,00:35:08
20,0.7848511058786336,0.7103616470588235,0.9980247559190638,0.10154588976858644,8.35353782744342e-05,0.9675262144233187,0.6503410159924742,0.9974135229975574,0.10119676840888478,0.00010985236326012426,00:35:11
21,0.774276099337634,0.7140632352941176,0.99806024531342,0.10154948407937499,8.204451126859845e-05,0.9862081909504906,0.6482537629350894,0.997974685532578,0.10126180810852087,8.599540932589804e-05,00:36:06
22,0.7637329598192046,0.7178353529411765,0.9980858160780738,0.10155237119033757,8.099097030056531e-05,0.9940050871497824,0.6507819849482597,0.9981720127368578,0.10128191736573222,7.74825567204697e-05,00:35:46
23,0.7531355705388574,0.7215322941176471,0.9981037357873356,0.10155401955924315,8.021879853733887e-05,1.0009524316464744,0.6457255409219191,0.9979686887333781,0.10125864685450874,8.574758912466781e-05,00:35:44
24,0.7423848751449305,0.725298294117647,0.9981179531384636,0.10155534193720538,7.958959309999002e-05,1.0247940929117678,0.643285512699906,0.9984793099500274,0.10131184299768195,6.385206166551305e-05,00:35:45
25,0.7319459784668474,0.7289188823529412,0.9981456974704966,0.10155846588332512,7.84668654021439e-05,1.0166669472533358,0.6464310912511759,0.9978883541762997,0.1012484639714825,8.92689829459633e-05,00:35:38
