n_valid_classes,training_count,validation_count,testing_count
0,0,0,0
1,28,1,0
2,3911,8,18
3,56912,128,223
4,159024,300,607
5,231045,450,849
6,485642,933,1721
7,790376,1514,3147
8,1086816,2196,4173
9,1927665,3747,7701
10,2795036,5558,11318
11,3604982,7265,14481
12,3595987,7303,14618
13,1904903,3895,7690
14,357673,702,1454
