mode,epoch,n_valid,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33
0.0,0.0,1.0,0.08333333333333333,0.020833333333333332,0.0625,0.020833333333333332,0.0,0.0625,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.0625,0.020833333333333332,0.020833333333333332,0.0,0.0625,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0625,0.041666666666666664,0.0,0.020833333333333332,0.0,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0
0.0,0.0,2.0,0.12757044935262757,0.10561056105610561,0.09697892866209698,0.08555470931708556,0.08187357197258187,0.07933485656257934,0.07362274689007363,0.07032241685707032,0.06765676567656766,0.07006854531607007,0.06752982990606753,0.06334094947956334,0.06321401370906321,0.05991368367605991,0.059532876364559534,0.04633155623254633,0.05305915206905306,0.05255140898705255,0.045823813150545824,0.04671236354404671,0.04633155623254633,0.04201574003554202,0.04214267580604214,0.037953795379537955,0.04265041888804265,0.04214267580604214,0.039096217314039096,0.052170601675552174,0.044046712363544044,0.04163493272404163,0.042396547347042395,0.039603960396039604,0.039603960396039604,0.031607006854531605
0.0,0.0,3.0,0.23763203957050674,0.18404117283359314,0.15913544016092934,0.14319054627154215,0.13395975024600942,0.12494666167390907,0.11799743976034764,0.11208450532512432,0.10724269156078828,0.10469116020656083,0.09916139088937849,0.09427603563435598,0.09261275069013263,0.09084496616826174,0.08553290430451177,0.07945451220467983,0.07574477719819216,0.0732193707383766,0.07100746301150367,0.06732385289942787,0.06633981520991353,0.058990011582036525,0.05888551200438898,0.055428317643882855,0.0522062473330837,0.050717128351606244,0.048644553394930026,0.06039204758214102,0.05880713732115333,0.05574181637682548,0.05154441667464928,0.046929018661882906,0.04280128534480507,0.038473261170569435
0.0,0.0,4.0,0.2926864400410832,0.2453405646434029,0.21837971893083494,0.19960732984293195,0.18745146421503545,0.17595631153084998,0.16759876249405045,0.16118890753776396,0.1546318795561011,0.1497783010596458,0.1452002805681505,0.13878416292993312,0.1360974723815727,0.1307272226258173,0.12525990130013276,0.11022633332498309,0.10536962348756232,0.10304929983216013,0.09868734186728124,0.09510195646183521,0.09132869059846188,0.07547157994939753,0.07207094366091335,0.0695658708885493,0.06603058693855056,0.06417057040507027,0.061192665146922516,0.0638198602169393,0.05898506976627671,0.05570968711641073,0.05246561787619931,0.04783749592925674,0.0427208847917032,0.037507202084220544
0.0,0.0,5.0,0.34259733911279244,0.29215685002173786,0.2637397339977981,0.24393556941299124,0.2292273650468175,0.21576935805176856,0.20565746755002412,0.1972543243202322,0.19192692617995488,0.18537528632331662,0.17987701345584403,0.17445877052389328,0.16927412848481702,0.16209306400015575,0.1575897578986302,0.13975173416218392,0.13414747570442564,0.13022168292139547,0.12636077927527486,0.12306224814903736,0.1182258444780426,0.09747429849435572,0.09326515648015365,0.08994066969915233,0.08544385251131775,0.08265361962420538,0.0787516195247087,0.08538761525932943,0.08078264950997886,0.07687199752556091,0.07118987210351115,0.0653649905802603,0.05845429749938896,0.051716642116943205
0.0,0.0,6.0,0.3797293406276994,0.33291925465838507,0.3060024268849492,0.2868197523754679,0.27178232076014974,0.2600993377483444,0.2511424869400683,0.2420406400394883,0.23438258401546624,0.2278865534120357,0.2210892188721155,0.21545288141170663,0.20971679486652134,0.20375755830693926,0.19747233762494343,0.17220805396733987,0.16660359508041628,0.16151433507465757,0.1565649294558019,0.15351178478877875,0.1477674715149521,0.1194490148492452,0.11345687137509769,0.10894245403315371,0.10465632841100736,0.10038871292830406,0.0965910493192382,0.09774896137550902,0.09255583892065321,0.08749742914729958,0.08124305869770886,0.07452799144420222,0.06628583768664391,0.05819279338571017
0.0,0.0,7.0,0.4195029057857761,0.3762126408003682,0.3504411787020318,0.3322996171140413,0.31661684597059314,0.30432352599021795,0.2937789883111037,0.28553518049254206,0.27658199677303513,0.26953818490812254,0.2627131288914516,0.25596204522808774,0.24839979464768927,0.24288474475112412,0.23443545817337602,0.20697907024971043,0.19957361576862964,0.19423243251445305,0.18819325372137838,0.18498083041237373,0.17891130398717306,0.14248150058924985,0.13646128906625393,0.1306952389623133,0.1253787131592391,0.12060022558406547,0.11557516349786807,0.10676929224263944,0.1007781638670976,0.09514172344202844,0.08772994653758807,0.08111353049178338,0.07187267650941535,0.06330579285717898
0.0,0.0,8.0,0.4617301106800322,0.4174107337880585,0.38913947872919147,0.3694130587631004,0.3530977671318609,0.3394601514636628,0.32775204435478494,0.3173682901178904,0.3083010713922765,0.30078444915427655,0.2934108386326608,0.28472069259976446,0.2775627492645933,0.27273805817679836,0.264596047082584,0.23692029097136225,0.22979131785526571,0.2236027272472268,0.21754151363416682,0.21555038587871964,0.20873732610396079,0.1705375631079435,0.16383670545150547,0.15795896989258487,0.15163334554987545,0.14620809722221584,0.14008664394727052,0.13160664696385208,0.124988561361913,0.11810100673810509,0.11008039465715586,0.10241708194479379,0.09163050370933766,0.0812853764312093
0.0,0.0,9.0,0.48517159875004795,0.44368422635623217,0.41685231337579354,0.4007614626471561,0.38470405944013514,0.3724433388612493,0.3606231402918698,0.3503391941688265,0.34106126652540925,0.3331987653975277,0.32558673175709946,0.31785490931832394,0.3099410701340079,0.30646252788589884,0.29815405980313153,0.2723818369067732,0.2642299758244425,0.2578682053563743,0.2511356600362789,0.25161248168164807,0.24354255406312195,0.2046796453421863,0.19730407790109283,0.19043722392830512,0.18361496665100596,0.17706625305824433,0.1698472926175875,0.15302474494320145,0.14545186305288235,0.13790102022719425,0.12841385111133927,0.11973123749607185,0.10803886550155208,0.09687957958798876
0.0,0.0,10.0,0.4999926684670051,0.46105722136330035,0.43801367670657526,0.4247659542204774,0.4107516394917138,0.4004869568451663,0.3894791070979611,0.3800407418653065,0.37113292927645636,0.36270685205073705,0.355614040922829,0.3476836468547187,0.34056186723058673,0.34129412644069096,0.33334978457810244,0.30908312563636814,0.30086626532782146,0.2938864670987622,0.28772368775394375,0.29015829316189706,0.2823339380953965,0.24149568995268836,0.23353257221291773,0.225979126231474,0.21886950622304097,0.21167101372927905,0.20325137394716503,0.17983857037252413,0.17102910761653292,0.16223234092987443,0.15039012696426968,0.1402963942090188,0.1269167041290121,0.1135144829963868
