n_valid_classes,training_count,validation_count,testing_count
0,0,0,0
1,48,0,0
2,7878,446,280
3,114833,4220,4366
4,319352,13025,12969
5,462327,18959,18675
6,972440,39667,38749
7,1581672,67552,64995
8,2174647,91694,90478
9,3856788,168158,167907
10,5592282,264689,263161
11,7211584,367662,369166
12,7188067,393911,396160
13,3805327,224643,227288
14,712755,45374,45806
