n_valid_classes,training_count,validation_count,testing_count
0,0,0,0
1,47,1,1
2,7845,430,307
3,114933,4694,4382
4,318664,12978,12505
5,463980,19463,18248
6,970986,40324,37770
7,1580104,67590,64691
8,2173605,91373,90950
9,3855827,169634,168468
10,5590652,261762,265785
11,7211039,366050,367767
12,7192940,395486,397567
13,3808192,224523,226260
14,711186,45692,45299
